-aĉ-;<i>(disparagement)</i>
ĝeni;inconvenience, disturb | hamper | annoy
ĝentila;polite, courteous
genuo;knee
geografio;geography
geonkloj;uncle(s) and aunt(s)
gepatra;parental
gepatroj;parents
germana;German
germana;German
Germanio;Germany
germano;German
ges-roj;Mr &amp | Mrs
gesinjoroj;ladies and gentlemen
ĝi;it
ĝia;its
giĉeto;ticket window, box-office, hatch
gimnastiko;gymnastics
gimnazio;grammar-school, high school
ĝino;gin
ĝinzo;jeans
gipso;plaster (of Paris)
ĝirafo;giraffe
ĝis;until
ĝis la (revido);goodbye (face to face)
ĝis la reaŭdo.....;goodbye (on the telephone)
gitaro;guitar
glaciaĵo;ice cream
glacio;ice
glaco;plate-glass
glacoviŝilo;windscreen-wiper
gladi;iron (clothes)
gladilo;iron (for clothes)
gladtabulo;ironing board
glando;gland
glaso;(drinking) glass, tumbler
gliti;slide | slip <i>(intr)</i>
glitkuri;ice-skate
globkrajono;ball-point pen
glumarko;sticker, seal
ĝojan kristnaskon;"happy Christmas"
ĝoji;be glad, rejoice
golfo;gulf, bay | golf
golo;goal (scored)
golulo;goal-keeper
gorĝdoloro;sore throat
gorĝo;throat
grado;degree (measure) | grade
grado;degree | grade
graflando;county
gramatiko;grammar
gramo;gram (weight)
gramofono;gramophone
granda;big, large | great
grando;size
grapfrukto;grapefruit
gratuli;congratulate
gratulon;"congratulations"
gratvundo;scratch (injury)
grava;important, serious
greka;Greek
Greklando;Greece
greko;Greek
Gresijono;Gresillon (in France)
grimpi;climb<i> (intr)</i>
grinci;creak, grate, grind
gripo;influenza, flu
griza;grey
groŝo;(Obsolete German) groschen (small coin)
grumbli;grumble
grupo;group
ĝui;enjoy
guldeno;(Dutch) guilder (currency)
ĝusta;right, correct, exact
ĝusta;right, correct | exact
gustumi;taste (something)
gustumi;taste (something)
guto;drop(let)
Hago;The Hague (Netherlands)
hajlo;hail
halo;(large) hall | covered market
halo;(large) hall | covered market
halo!;"hello!" (on the telephone)
haltejo;(<i>e.g.</i> bus) stop
halti;stop, halt <i>(intr)</i>
hamstro;hamster
harbroso;hairbrush
haringo;herring
haro(j);hair
haveno;harbour
havi;have
Havro;le Havre
heĝo;hedge
hejme;at home
hejmo;home
hejmtasko;homework
hejtforno;heater, stove
hela;bright, clear | light(-coloured)
hela;bright, clear | light(coloured)
heliĝi;brighten
helpi;help
helpi;help
ĥemio;chemistry
hemoroidoj;haemorrhoids, piles
hepataĵo;liver (food)
hepato;liver
herbo;grass | herb, plant
herbo;grass | herb
hieraŭ;yesterday
higieno;hygiene
Hindio;India
hipervendejo;hypermarket
hipopotamo;hippopotamus
hispana;Spanish
Hispanio;Spain
hispano;Spaniard
historio;history | story
historio;history | story
hobio;hobby
hobojo;oboe
hodiaŭ;today
hokeo;hockey
hoko;hook
hola!;"hey! stop!"
homo;human being, man
honora;honoured
honori;honour
horaro;timetable
horloĝo;clock | watch
horo;hour | time (of day)
horplano;timetable
hortabelo;timetable
hortabelo;timetable
hotelo;hotel
humoro;temper, mood
hundo;dog
Hungario;Hungary
hupo;horn, hooter
I.F.E.F.;<i>Internacia Federacio de Esperanto-Fervojistoj</i> = International Federation of Esperantist Railway workers
I.L.E.I;<i>Internacia Ligo de Esperanto-Instruistoj</i> = International League of E-o Teachers
ia;some kind of | any sort of
ial;for some reason
iam;once | sometime (in future) | ever
identeco;identity
ideo;idea
idiomo;tongue, language
idiotismo;idiom
Ido;Ido (offshoot of, and competitor to, E-o)
ie;somewhere
iel;somehow
ien;to somewhere
ies;someone's
ili;they
ilia;their
ilo;tool | instrument
imperio;empire
imposto;tax
inaŭguri;inaugurate
industrio;industry
infano;child
infekti;infect
influi;influence
informejo;information centre
informejo;information centre
informo;information
inĝeniero;(professional) engineer
ingredienco;ingredient
injekti;inject
inklino;inclination
inkluziva;inclusive
inkluziva;inclusive
inokuli;inoculate
insekto;insect
insigno;badge
instruado;teaching
instruisto;teacher
instrukcio;directions, instructions
instrumento;instrument
insulo;island
insulti;insult | revile
intelektulo;intellectual
inteligenta;intelligent
intenci;intend
intensa;intense | intensive
inter;between | among
interesa;interesting
interesa;interesting
interesi;interest
interesiĝi;be interested in
intereso;interest
interkona vespero;introductory evening
internacia;international
internato;boarding house, boarding wing
interrompi;interrupt
interŝanĝi;swap, exchange
interŝanĝi;exchange, swap <i>(intr)</i>
interŝanĝo;exchange
intersekcaĵo;intersection
inviti;invite
io;something | anything
iom;a bit | some | a little, rather
iomete;a tiny bit
irbileto;one-way ticket
iri;go
irlandano;Irishman
Irlando;Ireland
islamano;Muslim
itala;Italian
Italio;Italy
italo;Italian (person)
iu;someone | a certain...
J.D.;<i>Junulara Delegito</i> = Youth Delegate
J.E.B.;<i>Junularaj Esperantistoj Britiaj</i> = Young E-ists of Britain
ja;indeed
jaĥto;yacht
jako;jacket
ĵaluza;jealous
jam;already | by now
januaro;January
japana;Japanese
Japanio;Japan
japano;Japanese (person)
jaraĝa;years old
jarcento;century
ĵargono;jargon
jaro;year
jaro;year
ĵaŭdo;Thursday
je;(at)
je via sano;"your health"
jen;here is
jen... jen;sometimes... sometimes
jeno;(Japanese) yen, ¥ (currency)
jes;yes
jes;yes
jes ja;"yes indeed!"
Jesuo;Jesus
ĵeti;throw
jeto;jet (plane)
ĵetono;token
jogurto;yoghurt
ju... des;the... the ...
juano;(Chinese) yuan (currency)
judo;Jew
ĵudo;judo
Jugoslavio;Yugoslavia
julio;July
juna;young
junio;June
junulargastejo.....;youth hostel
junulo;youth
jupo;skirt
ĵurnalo;newspaper
ĵus;just, just now
juvelaĵo;jewellery
K.E.L.I.;<i>Kristanta Esperantista Ligo Internacia</i> = Christian Esperantist International League
K.E.S.;<i>Kvakera Esperanto Societo</i> = Quaker Esperanto Society
K.K.K.;<i>Konstanta Kongresa Komitato</i> = Permanent Congress (organising) committee
K.K.S.;<i>Konstanta Kongresa Sekretario</i> = Permanent Congress (organising) secretary
kadro;frame, framework | cadre
kaduka;ramshackle, decrepit, dilapidated, shaky
kafkruĉo;coffee pot
kafo;coffee
kaĝo;cage
kaj;and
kaj al vi!;"and the same to you!"
kaj tiel plu;and so on, etc.
kaj... kaj;both... and
kajero;exercise book
kajo;quay | platform
kajutlito;sleeping compartment bed
kajuto;compartment, cabin (on ship or plane)
kakao;cocoa
